MusicBrainzID,NAME OF THE TRACK,ARTIST,ANNOTATED,EVALUATED / %accuracy (both root & type correct),RHYTHM FEEL,STYLE,FORM,ORCHESTRATION,INSTRUMENTATION,BASIC INFO
75711684-1e71-4c0f-8070-89a82520552e,Boplicity,Miles Davis Nonet,+,%21.74,Medium Swing,Cool Jazz,AABA,Jazz Combo (Larger),"Trumpet, Trombone, French Horn, Tuba, Alto Saxophone, Baritone Saxophone, Piano, Bass, Drums",'The Birth of Cool Jazz???
48beee05-fc79-44f3-801f-742aa0fa71be,Popo,Shorty Rogers and His Giants,,,Medium-up Swing,Cool Jazz,,Jazz Combo (Larger),"Trumpet, French Horn, Tuba, Alto Saxophone, Tenor Saxophone, Piano, Bass, Drums",Representative of ???Cool Jazz??? / ???West Coast Jazz???
84fb16c0-ae52-4539-9cbf-14ea5750ac35,Jonaleh,The Chico Hamilton Quintet,,,Uptempo Swing,Cool Jazz,,Jazz Combo (Quintet),"Baritone saxophone, trumpet, bass, drums",fine example of West Coast???s Cool Jazz. Very uncommon orchestration
d0296909-0459-4596-86fd-9140dc1dac6a,Walkin' Shoes,The Gerry Mulligan Quartet & Chet Baker,+,%22.24,Medium Swing,Cool Jazz,AABA,Jazz Combo (Quartet),"Baritone saxophone, trumpet, bass, drums",Fine example of Cool Jazz / West Coast Swing
e8acee6a-d3f0-4ab9-b489-3deb44432575,Dinah,Django Reinhardt,+,%66.99,Gypsy Swing,Gypsy Swing / European Jazz,AABA,Jazz Combo (Quartet),"Violin, Guitars, Bass",Fine example of Gypsy swing / Jazz Manouche guitar by Django Reinhardt
490a4ca1-1800-4d21-8d78-b6e9415779db,Minor Swing,Quintette du Hot Club de France,+,%73.81,Gypsy Swing,Gypsy Swing / European Jazz,AB,Jazz Combo (Quartet),"Violin, Guitars, Bass","Classical standard by Django, typical example of gypsy swing. Django & Grapelli improvs."
517cca8f-ab9a-4eee-92d1-1016907b3fc5,Moanin',Art Blakey & The Jazz Messengers,+,%18.96,Medium Swing,Hard-bop,AABA,Jazz Combo (Quintet),"Trumpet, Tenor Saxophone, Piano, Bass, Drums",Representative of ???hard-bop??? style playing (playing bebop in a more soulful way)
3bdc8595-62e3-480f-8096-eb862cd6ba95,One by One,Art Blakey & The Jazz Messengers,,,Medium-up Swing,Hard-bop,AABA,Jazz Combo (Sextet),"Trumpet, Trombone, Tenor Saxophone, Piano, Bass, Drums",Representative of ???Hard-bop???
1510f5f6-fd52-4676-a279-270c40bb4259,Work Song,Cannonball Adderley,+,%18.84,Medium-up Swing,Hard-bop,Blues 16-bar,Jazz Combo (Quintet),"Cornet, Alto Saxophone, Piano, Bass, Drums",Representative of ???Hard-bop??? / Funky groove
5d955440-69c0-4b4a-b79d-170162fc1b12,Better Git It in Your Soul,Charles Mingus,,,Jazz Waltz,Hard-bop,,Jazz Combo (Quintet),"Trombone, Alto Saxophone, Piano, Bass, Drums",Representative of post-bop era. Has gospel elements.
756b9e24-b7f4-4d07-b4c6-52346bccb706,Haitian Fight Song,Charles Mingus,,,Medium-up Swing,Hard-bop,,Jazz Combo (Quintet),"Trombone, Tenor Saxophone, Piano, Bass, Drums",Representative of post-bop era. Has gospel elements.
3a312349-bfa1-4e8d-bef3-3e151cb7b967,Haig & Haig,Clark Terry-Bob Brookmeyer Quintet,,,Uptempo Swing,Hard-bop,,Jazz Combo (Quintet),"Trumpet, Valve Trombone, Piano, Bass, Drums",Late Swing Era arrangement of the popular ???Rhythm Changes??? form.
2977f3f7-df09-47d3-85d8-710a4e03e7e3,Body and Soul,Gene Norman's Just Jazz,,,Ballad,Hard-bop,AABA,Jazz Combo (Larger),"Vibraphone, Tenor Saxophone, Trumpet, Guitar, Piano, Bass, Drums",
c7ff468d-f263-41a4-b644-a935f9290f1c,The Preacher,Horace Silver & The Jazz Messengers,,,Medium Swing,Hard-bop,,Jazz Combo (Quartet),"Trumpet, Tenor Saxophone, Piano, Bass, Drums",Representative of hard-bop style
a02be0e5-a13f-4c74-811a-cc24d9a9a6bb,King of the Road,Jimmy Smith & Wes Montgomery,,,Medium-up Swing,Hard-bop,,Jazz Combo (Trio),"Hammond Organ, Electric Guitar, Drums",Has ???hammond organ??? replacing piano and bass. Electrified instruments
cc14d998-bf97-4c94-a835-d4ed9717bc7a,Giant Steps,John Coltrane,+,%33.9,Uptempo Swing,Hard-bop,ABAC,Jazz Combo (Quartet),"Tenor Saxophone, Piano, Bass, Drums",Introducing ???Coltrane Changes???. Harmonic structure is to be analyzed
09620053-4631-4c90-8050-326761f0168f,"My Favorite Things, Part 1 (Single Version)",John Coltrane Quartet,,,Jazz Waltz,Hard-bop,Through-Composed,Jazz Combo (Quartet),"Soprano Saxophone, Piano, Bass, Drums",Fine example from ???hard-bop era??? / Jazz Waltz. Coltrane???s arrangement of the standard gives a unique character to the song.
27c5ca66-7079-49b6-a7f1-961cecbea199,Blue 7,Sonny Rollins, +,%15,Medium Swing,Hard-bop,Blues Major,Jazz Combo (Quartet),"Tenor Saxophone, Piano, Bass, Drums",Representative of hard-bop era / 12-bar Blues structure
e3ca10e3-13a5-4fe5-aa23-7af9db3815dc,Blues in the Closet,Stan Getz & J.J. Johnson,,,Uptempo Swing,Hard-bop,Blues,Jazz Combo (Sextet),"Trombone, Tenor Saxophone, Piano, Guitar, Bass, Drums",Recording from Post-bop era. The instrumentalists improvise collectively.
c3141ac9-74aa-439e-b9bc-16aae9c4d683,Django,The Modern Jazz Quartet,+,%56.29,Medium Swing,Hard-bop,Through-Composed,Jazz Combo (Quartet),"Vibraphone, piano, drums, bass",Rich harmonic structure. Has lots of modulations and hybrid chords. Tempo is not constant throughout the recording.
fc696e6a-b402-45f5-89ae-1d7677510155,Misterioso,Thelonious Monk Quartet, +,%08.16,Slow Swing,Hard-bop,Blues Major,Jazz Combo (Quartet),"Piano, Vibraphone, Bass, Drums",Representative of ???Bebop???.
02ffe965-bd93-45bd-ae9f-5671261871ae,West Coast Blues (abridged),Wes Montgomery,+,%32.43,Medium Swing,Hard-bop,Blues,Jazz Combo (Quartet),"Guitar, piano, Bass, Drums","12-bar Blues on 6/4 rhythm. Lots of reharmonization by Wes Montgomery. Jazz combo (p,g,b,d)"
8fecd84b-8d9e-43c7-865e-4e3e93292260,Dippermouth Blues,King Oliver's Creole Jazz Band,+,%60.32,Two-Beat Feel,Hot Jazz,Blues Major,Dixieland Jazz Band,"Clarinet, Cornet, Trombone, Banjo, piano, drums",Typical New Orleans Jazz style in New Orleans Blues form
8fbdddb7-a518-46b3-9a2c-e0193669e002,Hotter Than That,Louis Armstrong & His Hot Five,+,%49,Medium-up Swing,Hot Jazz,ABAC,Jazz Combo (Sextet),"Trumpet, Trombone, Clarinet, Piano, Banjo, Piano",Representative of Louis Armstrong???s ???Hot Jazz??? / Early Jazz orchestration
9ba3f2b1-d916-4269-b8a8-914477c89d33,West End Blues,Louis Armstrong & His Hot Five,+,%55.72,Slow Swing,Hot Jazz,Blues Major,Jazz Combo (Sextet),"Trumpet, Trombone, Clarinet, Piano, Banjo, Drums, Vocals",12-bar blues in Eb by Louis Armstrong with his Hot Five
6259ce42-b0b2-4967-bb4a-a7c19d05ed4d,Struttin' With Some Barbecue,Louis Armstrong & His Hot Five, +,%62.31,Two-Beat Feel,Hot Jazz,ABAC,Jazz Combo (Sextet),"Trumpet, Trombone, Clarinet, Tuba, Guitar, Piano",Representative of Louis Armstrong???s ???Hot Jazz??? / Early Jazz orchestration
79e051ea-feea-492f-954f-dd7f4bb1c832,Sweethearts on Parade,Louis Armstrong & His Orchestra, +,%56.43,Slow Swing,Hot Jazz,AABA,Jazz Combo (Quintet),"Cornet, Piano, Banjo, Drums, Horn Section, Vocals",
c24c608d-d030-4c46-ab95-e0fa2d45b7c6,I Gotta Right to Sing the Blues,Louis Armstrong & His Orchestra,,,Medium Swing,Hot Jazz,ABAC,Jazz Combo (Larger),"Trumpet, Clarinet, Alto Saxophone, Trombone, Guitar, Piano, Bass, Vocals",Early Swing Era recording with male vocals (Louis Armstrong)
7a3b16fb-d992-4285-954c-8c6cf7566d44,Swing That Music,Louis Armstrong & His Orchestra,+,%81.27,Two-Beat Feel,Hot Jazz / Chicago Style,ABAC,Big Band,"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Piano, Guitar, Bass, Drums, Vocals","Up tempo swing, 2/4 rhythm. Fine example of what was played in Chicago in 1920s,30s."
d63fa5bc-3351-43b0-9678-b93a9cfd28d5,Potato Head Blues,Louis Armstrong & His Hot Five,+,%50.19,Two-Beat Feel,Hot Jazz / New Orleans Jazz,Blues,Jazz Combo (Sextet),"Trumpet, Trombone, Clarinet, Tuba, Guitar, Piano",Bass Line is played by Tuba (instead of a double bass)
e3d72af4-c47b-422f-87b6-4218b68d2b7c,Big Butter and Egg Man From the West,Louis Armstrong & His Hot Seven, +,%37.8,Two-Beat Feel,Hot Jazz / New Orleans Jazz,ABCA,Jazz Combo (Larger),"Trumpet, Trombone, Clarinet, Tuba, Piano, Drums, Vocals",Representative of Louis Armstrong???s ???Hot Jazz???
d172970c-5751-44bf-8a45-65bc3223410e,Weather Bird,Louis Armstrong & Earl Hines, +,%30,Two-Beat Feel,Hot Jazz / Ragtime,Through-Composed,Duo,"Trumpet, Piano",Representative of Louis Armstrong???s ???Hot Jazz??? 
fe3f1506-433b-457f-866d-b8579df08fc3,Waltz For Debby,Bill Evans,,,Jazz Waltz / Medium Swing,Jazz Waltz,ABA,Jazz Combo (Trio),"Piano, Bass, Drums",Starts with ?? metre then 4/4 metre swing when drums join
b56a075e-8c13-4ec7-8b60-02eff2202341,Moten Swing,Bennie Moten and his Kansas City Orchestra, +,%20.76,Medium-up Swing,Kansas City Jazz,AABA,Big Band,"Trumpet, trombone, amplified guitar, clarinet, alto saxophone, tenor saxophone, piano, bass, acoustic guitar",Representative recording for ???Kansas City Jazz???
699579f6-d24a-4c64-9950-b6281c8a3b2e,Doggin' Around,Count Basie & His Orchestra,,,Uptempo Swing,Kansas City Jazz,,Big Band,,Representative of ???Kansas City Jazz???
67be514b-1d2e-45c9-81c0-9ac2aeab904b,Taxi War Dance,Count Basie & His Orchestra,,,Uptempo Swing,Kansas City Jazz,,Big Band,,Representative of ???Kansas City Jazz???
f712230f-9df9-4a88-9ee6-02cfc2eb4eb6,One O'Clock Jump,Count Basie and His Orchestra,+,%41.33,Medium-up Swing,Kansas City Jazz,Blues,Big Band,"Trumpet, trombone, alto saxophone, tenor saxophone, piano, bass, drums",Representative of ???Kansas City Jazz??? / 12-bar blues / Has modulation from F major to Db major)
89b0b7f7-564a-4ae9-9402-5c5576ac2f9d,Lester Leaps In,Count Basie and the Kansas City 7, +,%20,Uptempo Swing,Kansas City Jazz,AABA,Jazz Combo (Larger),"Trumpet, Flute, Tenor Saxophone, Piano, Bass, Guitar, Drums",Representative of ???Kansas City Jazz???
f63da1a2-4f9d-44a4-9bfa-14bde9da3f06,The Golden Bullet,Count Basie Octet,,,Uptempo Swing,Kansas City Jazz,AABA,Jazz Combo (Larger),"Trumpet, Clarinet, Tenor Saxophone, Baritone Saxophone, Piano, Guitar, Bass, Drums",Good example from the late swing era ??? 1950s swing.
8454b48d-cd0b-4114-b696-b5429443c597,Airegin,Tito Puente, +,%50.2,Latin Groove,Latin Jazz,ABAC,Big Band,,Representative of Latin groove. / Has various percussion instruments & electrified instruments
f1e07c20-56ee-4088-9597-6760b6fdd9b6,Meet B. B.,Count Basie & His Orchestra,,,Slow Swing,Mainstream Jazz,,Big Band,"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Baritone Saxophone, Flute, Piano, Guitar, Bass, Drums",Representative of ???swing??? style / ???Big Band Jazz??? from 1950s.
a8db791d-8fef-4c0d-9cd3-f8f05a4bf5f2,Isfahan,Duke Ellington & His Orchestra,,,Ballad,Mainstream Jazz,ABAC,Big Band,"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Baritone Saxophone, Piano, Bass, Drums",Fine example of Big Band Jazz in Ballad form / Excellent orchestration comping the harmonic structure.
de6cd145-7a74-4e4b-86ac-4094433b849f,You'd Be So Nice to Come Home To,Ella Fitzgerald,,,Medium-up Swing,Mainstream Jazz,ABAC,Jazz Combo (Quintet),"Trumpet, Piano, Bass, Drums, Vocals",Representative of ???Mainstream Jazz??? / Fine example of Ella singing
96cd1df4-1a44-4996-98a5-8449796b2598,Cotton Tail,Ella Fitzgerald & Duke Ellington Orchestra,+,%24.62,Uptempo Swing,Mainstream Jazz,AABA,Big Band,"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Baritone Saxophone, Clarinet, Piano, Bass, Drums",Representative of up-tempo swing ???Big Band Jazz??? featured E. Fitzgerald scatting
5e6eb87d-7f9b-4ccd-b671-b0cdbc061a20,Stompin' at the Savoy,Louis Armstrong & Ella Fitzgerald, +,%22.4,Slow Swing,Mainstream Jazz,AABA,Jazz Combo (Larger),"Trumpet, Piano, Guitar, Bass, Drums, Vocals (M&F)",Representative of ???Mainstream Jazz??? / Transition from Slow swing to uptempo swing. Great vocal performances
b318406d-5b25-4e4d-8be9-200f5c4e5c0f,When I Grow Too Old to Dream,"Nat ""King"" Cole and His Trio",,,Medium Swing,Mainstream Jazz,,Jazz Combo (Quintet),"Piano, Guitar, Bass, Drums, Violin, Vocals",Typical Mainstream Jazz piece from the 1950s. / Violin solo
0409c520-29ce-4e43-b991-e9aa4e196ff7,Ol' Man River,Oscar Peterson Trio,,,Uptempo Swing,Mainstream Jazz,,Jazz Combo (Trio),"Piano, Bass, Drums",Fine example of early ???mainstream Jazz???.
6af0952a-e2f5-4d28-be98-eb03d6228449,Wrap Your Troubles in Dreams,Sarah Vaughan, +,%34,Medium Swing,Mainstream Jazz,AABA,Big Band,"Piano, Trumpet, Baritone Saxophone, Tenor Saxophone, Trombone, Guitar, Bass, Drums",Good example from ???mainstream Jazz??? era
333f84f9-e2c4-4ebd-aec5-b710307c7c2b,September in the Rain,The George Shearing Quintet,,,Medium Swing,Mainstream Jazz,AABA,Big Band,,Fine composition from the ???Bop Era??? / bebop harmony with a milder rhythm
42ee4849-d720-4b7c-b6cd-82c30f0a3c2e,Down the Avenue,Wynton Marsalis Septet,,,Medium-up Swing,Mainstream Jazz,,Jazz Combo (Larger),,"This more modern piece contains elements from all eras of Jazz (from Cool Jazz elements to bebop scales and big band swing rhythm, etc.)"
d8fe08a8-b51e-4588-9547-9731134883f7,A Handful of Riffs,Eddie Lang & Lonnie Johnson, +,%51.85,Medium-up Swing,New Orleans Jazz,Blues Major,Duo,Guitars,Two guitar performance with two distinct styles
e05f0970-2e3e-46ad-a87b-6b6055e6c099,From Monday On,Bix Beiderbecke & Paul Whiteman and His Orchestra, +,%62,Two-Beat Feel,New Orleans Jazz,ABAC,Big Band,"cornet, trumpet, trombone, alto saxophone, tenor saxophone, violin, piano, banjo, bass, tuba, drums, Vocals",
043694ff-e370-43f2-a68b-84a476f96194,In Gloryland,Bunk's Brass Band, +,%23.37,March,New Orleans Jazz,Blues Major,Dixieland Jazz Band,"Trumpet, trombone, Clarinet, French Horn, Bass Horn, Baritone horn, drums",Representative of early 20 th Century marching bands in New Orleans
5f08d6f0-73a2-41db-a06b-ab5db714bc3e,Riverboat Shuffle,Frankie Trumbauer and His Orchestra,,,Two-Beat Feel,New Orleans Jazz,ABAC,Dixieland Jazz Band,"cornet, sax, clarinet, trombone, guitar, piano, drums",
67a88bd6-864f-4ff7-9579-9d649887deb1,Black Bottom Stomp,Jelly Roll Morton's Red Hot Peppers,+,%60.47,Two-Beat Feel,New Orleans Jazz,Through-Composed,Dixieland Jazz Band,"Cornet, Trombone, Banjo, Clarinet, bass, piano, drums",Representative of Early Jazz / New Orleans Jazz
c38bec92-e409-4bff-b148-75ff64c955ff,Dead Man Blues,Jelly Roll Morton's Red Hot Peppers, +,%63.24,Two-Beat Feel,New Orleans Jazz,Blues Major,Dixieland Jazz Band,"Cornet, Trombone, Banjo, Clarinet, bass, piano, drums",Representative of what was played after funerals in New Orleans. Marching rhythm. (more sad than cheerful mood) Collective improvisation in the final chorus
cad9a000-cb04-49ae-9c2e-94c16981dbc9,Livery Stable Blues,Original Dixieland Jazz Band,+,%69.6,Two-Beat Feel,New Orleans Jazz,Blues,Dixieland Jazz Band,"Cornet, Trombone, Clarinet, piano, drums","First Jazz recording in history, typical Dixieland style playing. Marching rhythm with colorful horn section playing."
29c54c4d-98ac-43b8-80dd-2b0dc6cee31b,Cake Walking Babies From Home,Red Onion Jazz Babies,,,Two-Beat Feel,New Orleans Jazz,,Dixieland Jazz Band,"Clarinet, Trumpet, Trombone, Piano, Vocals",Representative of New Orleans Jazz / Early recording of Louis Armstrong
6a278fcb-224c-4c63-9e65-48cf3f0c1232,Blue Horizon,Sidney Bechet's Blue Note Jazzmen,+,%59.52,Slow Swing,New Orleans Jazz,Blues Major,Jazz Combo (Larger),"Trumpet, Trombone, Clarinet, Piano, Cello, Bass, Drums",Fine example of slow tempo 12-Bar Blues from the Early Jazz Era
90521ab0-9419-45bc-9576-18a5332aa409,Maple Leaf Rag,Anthony Braxton & Muhal Richard Abrams,+,%61.54,Two-Beat Feel,Post-bop,Through-Composed,Duo,"Piano, Soprano Saxophone",More avant-garde version of Joplin???s classic piece. Piano and saxophone duet
1c60e1f6-51ad-4d20-a236-afd5a31629de,Maple Leaf Rag,Dick Hyman,+,%82.12,Two-Beat Feel,Ragtime,Through-Composed,Solo,Piano,"Joplin???s well-known standard recorded on 1971, played by Hyman just as it is written on sheet."
